ratio,pool_seed,model_seed,policy,param,cost_rate,avail,n_prev,n_fail,fails_per_1000,wear_fails,false30_rate,mean_rem_at_prev,op
2,0,0,reactive,,0.061633281972265024,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
2,0,0,periodic,60,0.05869014084507042,0.8232838589981447,119.0,281.0,19.788732394366196,0.0,0.29411764705882354,26.327286475699395,14200.0
2,0,0,risk,0.8,0.06172824200347136,0.8022677541277103,3.0,397.0,24.609471857178278,89.0,1.0,57.35223257840013,16132.0
2,0,0,rul,8,0.05735641730019804,0.8208610834338456,73.0,327.0,20.890564109116465,18.0,0.0,12.177768429751165,15653.0
2,0,0,risk_gated,0.8,0.061633281972265024,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
2,0,0,rul_gated,8,0.059070145798135285,0.8128274248512283,40.0,360.0,22.52675051623803,50.0,0.0,8.552437719484043,15981.0
5,0,0,reactive,,0.13559322033898305,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
5,0,0,periodic,60,0.11805633802816902,0.8232838589981447,119.0,281.0,19.788732394366196,0.0,0.29411764705882354,26.327286475699395,14200.0
5,0,0,risk,0.5,0.1336664913203577,0.8044858231062209,38.0,362.0,23.80326144134666,70.0,0.7894736842105263,50.854938256735615,15208.0
5,0,0,rul,16,0.11821250168759283,0.8230914546060674,102.0,298.0,20.11610638585122,1.0,0.11764705882352941,21.269526836249923,14814.0
5,0,0,risk_gated,0.5,0.13430675309962867,0.8037331175072082,15.0,385.0,24.230599786015482,81.0,0.5333333333333333,43.89473828014353,15889.0
5,0,0,rul_gated,16,0.12141692217365778,0.8191631486132636,77.0,323.0,21.07117228782047,16.0,0.07792207792207792,17.74028553358421,15329.0
10,0,0,reactive,,0.2588597842835131,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
10,0,0,periodic,40,0.21906711767847606,0.8167805729242402,185.0,215.0,19.13833006943208,0.0,1.0,46.75314679621991,11234.0
10,0,0,risk,0.5,0.252682798527091,0.8044858231062209,38.0,362.0,23.80326144134666,70.0,0.7894736842105263,50.854938256735615,15208.0
10,0,0,rul,16,0.2187930336168489,0.8230914546060674,102.0,298.0,20.11610638585122,1.0,0.11764705882352941,21.269526836249923,14814.0
10,0,0,risk_gated,0.5,0.2554597520297061,0.8037331175072082,15.0,385.0,24.230599786015482,81.0,0.5333333333333333,43.89473828014353,15889.0
10,0,0,rul_gated,16,0.22677278361276013,0.8191631486132636,77.0,323.0,21.07117228782047,16.0,0.07792207792207792,17.74028553358421,15329.0
20,0,0,reactive,,0.5053929121725732,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
20,0,0,periodic,40,0.4104504183727969,0.8167805729242402,185.0,215.0,19.13833006943208,0.0,1.0,46.75314679621991,11234.0
20,0,0,risk,0.5,0.4907154129405576,0.8044858231062209,38.0,362.0,23.80326144134666,70.0,0.7894736842105263,50.854938256735615,15208.0
20,0,0,rul,16,0.4199540974753611,0.8230914546060674,102.0,298.0,20.11610638585122,1.0,0.11764705882352941,21.269526836249923,14814.0
20,0,0,risk_gated,0.5,0.4977657498898609,0.8037331175072082,15.0,385.0,24.230599786015482,81.0,0.5333333333333333,43.89473828014353,15889.0
20,0,0,rul_gated,16,0.4374845064909648,0.8191631486132636,77.0,323.0,21.07117228782047,16.0,0.07792207792207792,17.74028553358421,15329.0
2,0,1,reactive,,0.061633281972265024,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
2,0,1,periodic,60,0.05869014084507042,0.8232838589981447,119.0,281.0,19.788732394366196,0.0,0.29411764705882354,26.327286475699395,14200.0
